id,title,price,stock
112,TV Studio Camera Pedestal,499.99,15
113,Generic Motorcycle,3999.99,34
114,Kawasaki Z800,8999.99,52
115,MotoGP CI.H1,14999.99,10
116,Scooter Motorcycle,2999.99,84
117,Sportbike Motorcycle,7499.99,0
118,Attitude Super Leaves Hand Soap,8.99,94
119,Olay Ultra Moisture Shea Butter Body Wash,12.99,34
120,Vaseline Men Body and Face Lotion,9.99,95
121,iPhone 5s,199.99,25
122,iPhone 6,299.99,60
123,iPhone 13 Pro,1099.99,56
124,iPhone X,899.99,37
125,Oppo A57,249.99,19
126,Oppo F19 Pro Plus,399.99,78
127,Oppo K1,299.99,55
128,Realme C35,149.99,48
129,Realme X,299.99,12
130,Realme XT,349.99,80
131,Samsung Galaxy S7,299.99,67
132,Samsung Galaxy S8,499.99,0
133,Samsung Galaxy S10,699.99,19
134,Vivo S1,249.99,50
135,Vivo V9,299.99,82
136,Vivo X21,499.99,7
137,American Football,19.99,53
138,Baseball Ball,8.99,100
139,Baseball Glove,24.99,22
140,Basketball,14.99,75
141,Basketball Rim,39.99,43
142,Cricket Ball,12.99,30
143,Cricket Bat,29.99,98
144,Cricket Helmet,44.99,10
145,Cricket Wicket,29.99,25
146,Feather Shuttlecock,5.99,95
147,Football,17.99,96
148,Golf Ball,9.99,84
149,Iron Golf,49.99,90
150,Metal Baseball Bat,29.99,16
151,Tennis Ball,6.99,28
152,Tennis Racket,49.99,6
153,Volleyball,11.99,0
154,Black Sun Glasses,29.99,60
155,Classic Sun Glasses,24.99,1
156,Green and Black Glasses,34.99,24
157,Party Glasses,19.99,86
158,Sunglasses,22.99,27
159,iPad Mini 2021 Starlight,499.99,47
160,Samsung Galaxy Tab S8 Plus Grey,599.99,62
161,Samsung Galaxy Tab White,349.99,92
162,Blue Frock,29.99,52
163,Girl Summer Dress,19.99,43
164,Gray Dress,34.99,55
165,Short Frock,24.99,22
166,Tartan Dress,39.99,73
167,300 Touring,28999.99,54
168,Charger SXT RWD,32999.99,57
169,Dodge Hornet GT Plus,24999.99,82
170,Durango SXT RWD,36999.99,95
171,Pacifica Touring,31999.99,53
172,Blue Women's Handbag,49.99,76
173,Heshe Women's Leather Bag,129.99,99
174,Prada Women Bag,599.99,75
175,White Faux Leather Backpack,39.99,39
176,Women Handbag Black,59.99,11
177,Black Women's Gown,129.99,25
178,Corset Leather With Skirt,89.99,30
179,Corset With Black Skirt,79.99,33
180,Dress Pea,49.99,6
181,Marni Red & Black Suit,179.99,62
182,Green Crystal Earring,29.99,54
183,Green Oval Earring,24.99,73
184,Tropical Earring,19.99,1
185,Black & Brown Slipper,19.99,3
186,Calvin Klein Heel Shoes,79.99,93
187,Golden Shoes Woman,49.99,88
188,Pampi Shoes,29.99,49
189,Red Shoes,34.99,7
190,IWC Ingenieur Automatic Steel,4999.99,90
191,Rolex Cellini Moonphase,15999.99,52
192,Rolex Datejust Women,10999.99,4
193,Watch Gold for Women,799.99,0
194,Women's Wrist Watch,129.99,12
